Name,Latitude,Longitude
Stuyvesant High School,40.717905,-74.01389
Brooklyn Technical High School,40.689016,-73.976715
The Brooklyn Latin School,40.709809,-73.944515
Queens High School for the Sciences at York College,40.700972,-73.798319
Staten Island Technical High School,40.567965,-74.115684
The Bronx High School of Science,40.878354,-73.890854
Fiorello H. LaGuardia High School of Music,40.774211,-73.985122
High School of American Studies at Lehman College,40.874885,-73.895221
"The High School for Math, Science and Engineering",40.821478,-73.949038
